# Dependencies for a3-modular-kalah-OverCry
# Analyse and report dependencies of modules.

# Summary Information
# Timestamp	Sun May 16 20:50:15 NZST 2021
# Tool	mete-analysis(dependencies):20170202T1945
# System	a3-modular-kalah-OverCry
# Codebase	./submissions/a3-modular-kalah-OverCry/a3-modular-kalah-OverCry

# Attribute Descriptions
# 1	Source	The name of the module the dependency is from.
# 2	Package	The package the source module belongs to. Provided for convenience as it is part of the source name
# 3	Kind	Modules are classified into 1 of 5 'Kinds': Class, Interface, Enum, Annotation, Exception. 
# 4	Modifiers	The modifiers for the source module (comma separated).
# 5	Target	The name of the module the dependency is to.
# 6	Package	The package the target module belongs to. Provided for convenience as it is part of the target name
# 7	Kind	Modules are classified into 1 of 5 'Kinds': Class, Interface, Enum, Annotation, Exception. 
# 8	Category	Dependencies are classified according to what kind of dependency they represent.
# 9	Area	Classification of the area of the source module the dependency originates from.
# 10	Details	More details of the origin of the dependency. Typically formatted text.
# 11	Locations	Even more details of the origin of the dependency. Typically formatted text.
# 12	Target	Information about the target of the dependency within the target module, if such makes sense.
# 13	Visibility	The degree to which the dependency is visible outside the source module
# 14	Inheritance	In what way is the dependency due to inheritance (if it is)

# Data
# Source	Package	Kind	Modifiers	Target	Package	Kind	Category	Area	Details	Locations	Target	Visibility	Inheritance
kalah.Singleton.Printer	kalah.Singleton	Class	public	java.lang.StringBuilder*	java.lang	Class	InvokeInstance	Method	kalah.Singleton.Printer#public void printState(com.qualitascorpus.testsupport.IO,java.util.List,int) {}	14,27,44,59	java.lang.StringBuilder#java.lang.StringBuilder append(java.lang.String) <>*	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	kalah.Interface.IStore	kalah.Interface	Interface	InvokeInterface	Method	kalah.Singleton.Printer#public void printState(com.qualitascorpus.testsupport.IO,java.util.List,int) {}	15,60	kalah.Interface.IStore#public abstract int getNumber() <>	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	kalah.Store	kalah	Class	InvokeInstance	Method	kalah.Singleton.Printer#public void printState(com.qualitascorpus.testsupport.IO,java.util.List,int) {}	15,60	kalah.Store#public int getNumber() {}	Private	Polymorphic
kalah.Singleton.Printer	kalah.Singleton	Class	public	kalah.Singleton.Printer	kalah.Singleton	Class	InvokeInstance	Method	kalah.Singleton.Printer#public void printState(com.qualitascorpus.testsupport.IO,java.util.List,int) {}	16,32,49,61	kalah.Singleton.Printer#public java.lang.String printNumber(int) {}	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	kalah.Interface.IStore	kalah.Interface	Interface	InvokeInterface	Method	kalah.Singleton.Printer#public void printState(com.qualitascorpus.testsupport.IO,java.util.List,int) {}	19,64	kalah.Interface.IStore#public abstract int getAmount() <>	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	java.lang.StringBuilder*	java.lang	Class	InvokeInstance	Method	kalah.Singleton.Printer#public void printState(com.qualitascorpus.testsupport.IO,java.util.List,int) {}	23,35,52,68	java.lang.StringBuilder#java.lang.String toString() <>*	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	kalah.Interface.ITeam	kalah.Interface	Interface	InvokeInterface	Method	kalah.Singleton.Printer#public void printState(com.qualitascorpus.testsupport.IO,java.util.List,int) {}	30,47	kalah.Interface.ITeam#public abstract kalah.Interface.IHouse getHouse() <>	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	kalah.Team	kalah	Class	InvokeInstance	Method	kalah.Singleton.Printer#public void printState(com.qualitascorpus.testsupport.IO,java.util.List,int) {}	30,47	kalah.Team#public kalah.Interface.IHouse getHouse() {}	Private	Polymorphic
kalah.Singleton.Printer	kalah.Singleton	Class	public	kalah.Interface.IHouse	kalah.Interface	Interface	InvokeInterface	Method	kalah.Singleton.Printer#public void printState(com.qualitascorpus.testsupport.IO,java.util.List,int) {}	31,48	kalah.Interface.IHouse#public abstract int getAmount() <>	Private	None
kalah.Singleton.Printer	kalah.Singleton	Class	public	kalah.Interface.IStore	kalah.Interface	Interface	Cast	Method	kalah.Singleton.Printer#public void printState(com.qualitascorpus.testsupport.IO,java.util.List,int) {}	57	To whole module	Private	None
